[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\apps\__init__.py first seen with mtime 1591280328.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\json\__init__.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1591280328.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\sre_compile.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1586752935.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\urllib3\util\__init__.py first seen with mtime 1587056591.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\urllib3\request.py first seen with mtime 1587056591.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\mimetypes.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\webdriver\common\action_chains.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\webdriver\safari\webdriver.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1591280328.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\hmac.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\views\defaults.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\apps\registry.py first seen with mtime 1591280328.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\javascipt\atom\MarksWebScraping\mainApp\urls.py first seen with mtime 1593090100.2831576
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\core\paginator.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\db\backends\sqlite3\schema.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\views\generic\base.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\db\utils.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\string.py first seen with mtime 1589391114.0
